feature_name|feature_class|state_name|map_name|prim_lat_dec|prim_long_dec
Dill Butte|Summit|California|Ravendale|40.8231629|-120.3058271
Disappointment Peak|Summit|California|Split Mountain|37.0679033|-118.4675575
Disaster Peak|Summit|California|Disaster Peak|38.4487431|-119.7336662
Ditch Camp Point|Ridge|California|Tunnel Hill|38.9231666|-120.6896302
Dodge Ridge|Ridge|California|Pinecrest|38.1647863|-119.9755087
Dome Two|Summit|California|Topaz Lake|38.6937909|-119.5875285
Domingo Peak|Summit|California|Moccasin|37.785984|-120.3307567
Donovan Ridge|Ridge|California|Calaveritas|38.1317373|-120.5984019
Doud Hill|Summit|California|Stanislaus|38.2122448|-120.3365482
Dry Mountain|Summit|California|Dry Mountain|36.9088184|-117.5978387
Dry Valley Ridge|Ridge|California|Whitinger Mountain|40.8976625|-120.6664513
Dunn Ridge|Ridge|California|La Grange|37.6612261|-120.3867878
Eagle Peak|Summit|California|Trimmer|36.9398575|-119.2777399
Eagle Peak|Summit|California|Buckeye Ridge|38.1798461|-119.408612
Eagle Peak|Summit|California|Dardanelle|38.2744707|-119.8481789
Eagle Peak|Summit|California|Eagle Peak|41.2835174|-120.200656
Eagle Scout Peak|Summit|California|Triple Divide Peak|36.5457144|-118.5615779
Eagle Spur|Ridge|California|Wren Peak|36.8549486|-118.7725052
East Spur|Ridge|California|Mount Brewer|36.7118828|-118.398506
East Vidette|Summit|California|Mount Brewer|36.7438136|-118.4005552
Eisenheimer Peak|Summit|California|Kettle Rock|40.170852|-120.7245758
Elephant Rock|Summit|California|Spicer Meadow Reservoir|38.4464977|-119.9699375
Elizabeth Peak|Summit|California|Twain Harte|38.0629635|-120.2474397
Ellis Mountain|Summit|California|Auckland|36.5441273|-119.0217604
Ericson Crags|Pillar|California|Mount Brewer|36.7029914|-118.4162069
Mount Ericsson|Summit|California|Mount Brewer|36.6971529|-118.4144644
Falls Ridge|Ridge|California|Falls Ridge|37.9052144|-119.4342304
Finger Peaks|Summit|California|Matterhorn Peak|38.0871973|-119.4072716
Finger Rock|Pillar|California|Rough Spur|36.9913326|-118.9126093
Fir Crags|Pillar|California|Tahoe City|39.1765734|-120.1907492
Fish Valley Peak|Summit|California|Lost Cannon Peak|38.4347216|-119.5701977
Five Springs Mountain|Summit|California|Cherry Mountain|40.5560065|-120.1049204
Flagpole Point|Summit|California|Tamarack|38.4590993|-120.1107961
Flatiron Ridge|Ridge|California|Buckeye Ridge|38.2124587|-119.4448779
Flowers Mountain|Summit|California|Copperopolis|37.9160319|-120.6749152
Forsyth Peak|Summit|California|Tower Peak|38.1575127|-119.5809295
Fredonyer Peak|Summit|California|Fredonyer Peak|40.6877351|-120.5984141
Fuller Buttes|Summit|California|Piyau Dome|37.4149039|-119.2869007
Gale Peak|Summit|California|Sing Peak|37.5679873|-119.3870782
Gales Ridge|Ridge|California|Jackson|38.2696299|-120.7788189
Garlic Spur|Ridge|California|Rough Spur|36.909404|-118.9695794
Garnet Point|Summit|California|Catheys Valley|37.4875857|-120.1019382
Gaylor Peak|Summit|California|Tioga Pass|37.9190971|-119.2655456
Mount Genevra|Summit|California|Mount Brewer|36.6833075|-118.4343247
Giant Gap Ridge|Ridge|California|Dutch Flat|39.1433731|-120.7977138
Gillis Hill|Ridge|California|Colfax|39.0764718|-120.9274153
Glacier Monument|Summit|California|The Sphinx|36.7982336|-118.5056305
Glacier Ridge|Ridge|California|Triple Divide Peak|36.6174459|-118.5588267
Glaucophane Ridge|Ridge|California|Mercey Hot Springs|36.6410157|-120.835897
Goat Hill|Summit|California|Auckland|36.6175636|-119.0550121
Goat Hill|Summit|California|Jackson|38.2948009|-120.7795385
Goat Mountain|Summit|California|The Sphinx|36.8694694|-118.5742113
Golden Gate Hill|Summit|California|San Andreas|38.2479096|-120.744409
Goldstein Peak|Summit|California|Tucker Mountain|36.6289553|-119.15871
Goodrich Mountain|Summit|California|Westwood East|40.329476|-120.966207
Grand Sentinel|Pillar|California|The Sphinx|36.7835501|-118.5842656
Granite Hill|Summit|California|Orange Cove North|36.6877223|-119.3609432
Granite Mountain|Summit|California|Sierra City|39.525568|-120.7393753
Granite Peak|Summit|California|Boca|39.4899163|-120.0425341
Granite Ridge|Ridge|California|Trimmer|36.8874869|-119.3635044
Grant Ridge|Ridge|California|Crandall Peak|38.1342506|-120.1666515
Grapevine Peak|Summit|California|Auckland|36.5630875|-119.1219365
Grasshopper Ridge|Ridge|California|Grasshopper Valley|40.8502046|-120.6802424
Graven Ridge|Ridge|California|Graven Ridge|41.3178772|-120.6827791
Green Mountain|Summit|California|Humphreys Station|36.9709868|-119.4083243
Green Mountain|Summit|California|Ben Hur|37.2641064|-119.990709
Grizzly Peak|Summit|California|Taylorsville|40.0153411|-120.8003426
