feature_name|feature_class|state_name|map_name|prim_lat_dec|prim_long_dec
Whitney Portal|Gap|California|Mount Langley|36.5888232|-118.2259237
Willmont Saddle|Gap|California|Westville|39.2187900|-120.6649323
Windy Gap|Gap|California|Horsecamp Mountain|37.3479987|-119.7698800
Windy Gap|Gap|California|Sentinel Peak|36.0441142|-118.5870325
Windy Gap|Gap|California|Crandall Peak|38.2493620|-120.2257480
Windy Gap|Gap|California|Quinn Peak|36.3299430|-118.6025918
Windy Gap|Gap|California|Dogtooth Peak|37.2135556|-119.0084481
Wingate Pass|Gap|California|Wingate Pass|35.7374575|-117.0597688
Wolf Creek Pass|Gap|California|Dardanelles Cone|38.4987978|-119.7699002
Yuba Gap|Gap|California|Cisco Grove|39.3151791|-120.6188217
Yuba Pass|Gap|California|Sattley|39.6174017|-120.4899343
