name,latitude,longitude,elevation_ft,list,section,class,emblem,mountaineers,mileage_rt,gain_ft,loss_ft,trailhead,quad,elev_estimated,coord_source,benchmark,benchmark_rating
Raymond Peak @,38.603724,-119.833222,10023,non-SPS,23.3,2s3,False,False,,,,,Pass,False,GNIS,False,
The Nipple @,,,9338,non-SPS,23.31,1,False,False,,,,,Top,False,,False,
Markleeville Peak @,38.661334,-119.898117,9410,non-SPS,23.32,1,False,False,,,,,Top,False,GNIS,False,
Mount Hawkins @,,,10024,non-SPS,23.33,2,False,False,,,,,Markleeville,False,,False,
Pickett Peak,38.755985,-119.903179,9118,non-SPS,23.34,2,False,False,,,,,Markleeville,False,GNIS,False,
Cary Peak,38.779211,-119.848393,8724,non-SPS,23.35,2,False,False,,,,,Markleeville,False,GNIS,False,
Wade Peak/Benchmark” @ (1),,,9367,non-SPS,23.36,2,False,False,,,,,Woodfords,False,,False,
The Sisters,38.662413,-120.008077,10153,non-SPS,23.37,1,False,False,,,,,Lake,False,GNIS,False,
Black Butte,,,9010,non-SPS,23.38,3,False,False,,,,,Lake,False,,False,
Fourth of July Peak,38.658734,-120.02324,9541,non-SPS,23.39,1,False,False,,,,,Lake,False,GNIS,False,
Melissa Coray Peak,38.651764,-120.039465,9767,non-SPS,23.4,2,False,False,,,,,Lake,False,GNIS,False,
Covered Wagon Peak,38.657008,-120.047522,9573,non-SPS,23.41,2s3,False,False,,,,,lake,False,GNIS,False,
Thimble Peak,,,9804,non-SPS,23.42,2s4,False,False,,,,,Lake,False,,False,
Thunder Mountain,,,9408,non-SPS,23.43,2,False,False,,,,,Lake,False,,False,
Martin Point,38.688792,-120.092396,9256,non-SPS,23.44,2,False,False,,,,,lake,False,GNIS,False,
Elephants Back,38.678413,-119.983118,9585,non-SPS,23.45,1,False,False,,,,,Pass,False,GNIS,False,
Red Lake Peak @,38.713918,-119.98737,10063,non-SPS,23.46,2-3,False,False,,,,,Pass,False,GNIS,False,
Little Round Top,38.740046,-120.05156,9590,non-SPS,23.47,1,False,False,,,,,Lake,False,GNIS,False,
Stevens Peak @,38.733529,-119.982648,10054,non-SPS,23.48,2,False,False,,,,,Pass,False,GNIS,False,
Waterhouse Peak @,38.776146,-119.96491,9497,non-SPS,23.49,2,False,False,,,,,Peak,False,GNIS,False,
Jobs Peak @,38.857873,-119.861383,10638,non-SPS,23.5,1,False,False,,,,,Freel,False,GNIS,False,
Jobs Sister @,38.862285,-119.884396,10823,non-SPS,23.51,1,False,False,,,,,Peak,False,GNIS,False,
Monument Peak,38.92283,-119.897623,10060,non-SPS,23.52,1,False,False,,,,,Tahoe,False,GNIS,False,
East Peak,38.942519,-119.907409,9508,non-SPS,23.53,1,False,False,,,,,Peak,False,GNIS,False,
Genoa Peak @,39.042959,-119.881279,9141,non-SPS,23.54,1,False,False,,,,,Peak,False,GNIS,False,
Duane Bliss Peak  @,39.080592,-119.877998,8659,non-SPS,23.55,2,False,False,,,,,Glenbrook,False,GNIS,False,
South Camp Peak,39.060581,-119.886735,8866,non-SPS,23.56,1s2,False,False,,,,,Glenbrook,False,GNIS,False,
Snow Valley Peak @,39.154236,-119.883235,9213,non-SPS,23.57,1,False,False,,,,,Peak,False,GNIS,False,
Talking Mountain,38.83263,-120.069425,8824,non-SPS,23.58,2,False,False,,,,,Lake,False,GNIS,False,
Ralston Peak @,38.832918,-120.101733,9235,non-SPS,23.59,1,False,False,,,,,Lake,False,GNIS,False,
Flagpole Peak,38.84603,-120.056903,8363,non-SPS,23.6,3,False,False,,,,,Lake,False,GNIS,False,
Echo Peak,38.856402,-120.073357,8895,non-SPS,23.61,2,False,False,,,,,Lake,False,GNIS,False,
Tahoe Mountain,38.910214,-120.035812,7249,non-SPS,23.62,1,False,False,,,,,S-1.0,False,GNIS,False,
Indian Rock (Tahoe),,,8570,non-SPS,23.63,3,False,False,,,,,Lake,False,,False,
Angora Peak,38.867058,-120.073037,8573,non-SPS,23.64,3,False,False,,,,,Lake,False,GNIS,False,
Keith’s Dome,,,8646,non-SPS,23.65,1,False,False,,,,,Lake,False,,False,
Cracked Crag,38.869069,-120.129919,8767,non-SPS,23.66,2,False,False,,,,,Peak,False,GNIS,False,
Mount Agassiz” (Tahoe),37.111877,-118.530755,9967,non-SPS,23.67,2,False,False,,,,,Peak,False,GNIS,False,
Mount Price @,38.863869,-120.174728,9975,non-SPS,23.68,2,False,False,,,,,Peak,False,GNIS,False,
Jacks Peak @,38.890308,-120.153978,9840,non-SPS,23.69,3,False,False,,,,,Valley,False,GNIS,False,
