name,latitude,longitude,elevation_ft,list,section,class,emblem,mountaineers,mileage_rt,gain_ft,loss_ft,trailhead,quad,elev_estimated,coord_source,benchmark,benchmark_rating
Gray Peak,37.673668,-119.418746,11573,SPS,20.3,2,False,False,22.0,6045.0,1700.0,Mono Meadows Trail,Merced Peak,False,GNIS,False,
Mount Lippincott,36.521169,-118.563106,12265,SPS,6.4,2,False,False,22.0,8405.0,3950.0,Sawtooth Pass Trail,Triple Divide Peak,False,GNIS,False,
Eagle Scout Peak,36.545714,-118.561578,12000,SPS,6.5,2,False,False,22.2,8290.0,3350.0,Alta Peak Trail,Triple Divide Peak,True,GNIS,False,
Mount Stewart,36.569665,-118.554655,12200,SPS,6.6,2,False,False,22.7,7940.0,3000.0,Alta Peak Trail,Triple Divide Peak,True,GNIS,False,
Black Kaweah,36.545384,-118.51583,13720,SPS,6.1,3,False,True,22.7,10010.0,4100.0,Sawtooth Pass Trail,Triple Divide Peak,True,GNIS,False,
Red Kaweah,36.54,-118.505625,13720,SPS,6.9,2,False,False,23.0,10010.0,4100.0,Sawtooth Pass Trail,Triple Divide Peak,True,GNIS,False,
Picket Guard Peak,36.576609,-118.47221,12303,SPS,6.11,2,False,False,23.2,10595.0,4600.0,Shepherd Pass Trail,Mount Kaweah,False,GNIS,False,
Kern Point,36.596685,-118.444891,12730,SPS,6.12,2,False,False,23.5,11020.0,4600.0,Shepherd Pass Trail,Mount Kaweah,True,GNIS,False,
Tunemah Peak,36.995323,-118.688309,11894,SPS,13.12,2,False,False,24.0,7625.0,2450.0,Crown Valley Trail,Slide Bluffs,False,GNIS,False,
Whaleback,36.63028,-118.531162,11717,SPS,7.3,3,False,False,24.0,6225.0,2850.0,Marvin Pass Trail,Sphinx Lake,False,GNIS,False,
Pettit Peak,37.985194,-119.480153,10788,SPS,22.1,2,False,False,25.0,6390.0,2700.0,Barney Lake Trail,Falls Ridge,False,GNIS,False,
Glacier Ridge,36.617446,-118.558827,12360,SPS,7.2,2s4,False,False,25.0,6870.0,2850.0,Marvin Pass Trail,Triple Divide Peak,True,GNIS,False,
MOUNT KAWEAH,36.52601,-118.478553,13802,SPS,6.8,1,True,False,25.0,10390.0,4400.0,Sawtooth Pass Trail,MOUNT KAWEAH,False,GNIS,False,
Finger Peak,37.029844,-118.730253,12404,SPS,13.11,2,False,False,28.0,7485.0,1800.0,Crown Valley Trail,Mount Goddard,False,GNIS,False,
Mount Reinstein,37.07942,-118.738353,12586,SPS,13.1,2,False,False,29.5,5385.0,1000.0,Maxson Trail,Mount Goddard,False,GNIS,False,
Lamont Point/Benchmark,,,7621,non-SPS,1.11,2,False,False,,,,,Peak,False,,False,
Chimney Peak,,,7999,non-SPS,1.12,1s2,False,False,,,,,Peak,False,,False,
Kennedy Peak,,,7202,non-SPS,1.13,2,False,False,,,,,Canyon,False,,False,
Ball Mountain,,,9258,non-SPS,1.14,2,False,False,,,,,Canyon,False,,False,
Pine Mountain,,,8150,non-SPS,1.15,1s2,False,False,,,,,Peak,False,,False,
Cannell Peak,35.864996,-118.361218,9380,non-SPS,1.16,2,False,False,,,,,Peak,False,GNIS,False,
Cherry Hill,,,8833,non-SPS,1.17,1,False,False,,,,,Fairview,False,,False,
Bass Peak,,,9945,non-SPS,1.18,2,False,False,,,,,Creek,False,,False,
Sherman Peak,,,9843,non-SPS,1.19,1,False,False,,,,,Creek,False,,False,
Lookout Mountain,,,9738,non-SPS,1.2,1s2,False,False,,,,,Creek,False,,False,
Schaeffer Mountain,36.071381,-118.39578,9328,non-SPS,1.21,1,False,False,,,,,Creek,False,GNIS,False,
Andy Smatko Peak,,,8916,non-SPS,1.22,2s3,False,False,,,,,Meadows,False,,False,
Bald Mountain,,,9387,non-SPS,1.23,1,False,False,,,,,Meadows,False,,False,
Jackass Peak,,,9374,non-SPS,1.24,3,False,False,,,,,Mountain,False,,False,
Granite Knob,36.153374,-118.224897,9013,non-SPS,1.25,2,False,False,,,,,Mountain,False,GNIS,False,
Blackrock Mountain,36.179165,-118.277999,9613,non-SPS,1.26,1,False,False,,,,,Meadows,False,GNIS,False,
Manzanita Knob,36.208634,-118.308105,9128,non-SPS,1.27,1,False,False,,,,,Meadows,False,GNIS,False,
Doc Peak,36.205891,-118.274324,8766,non-SPS,1.28,1,False,False,,,,,Meadows,False,GNIS,False,
Deer Mountain,,,9410,non-SPS,1.29,1,False,False,,,,,Mountain,False,,False,
Round Mountain,,,9892,non-SPS,1.3,1,False,False,,,,,Pass,False,,False,
Monache Mountain,36.205368,-118.196305,9418,non-SPS,1.31,1,False,False,,,,,Mountain,False,GNIS,False,
Anderson Point,,,8510,non-SPS,1.32,1,False,False,,,,,Mountain,False,,False,
Maggie Mountain,36.26362,-118.61882,10146,non-SPS,2.11,2,False,False,,,,,Peak,False,GNIS,False,
White Chief Peak,36.405323,-118.597728,11181,non-SPS,2.12,2,False,False,,,,,King,False,GNIS,False,
Hengst Peak,36.410424,-118.621726,11128,non-SPS,2.13,2,False,False,,,,,King,False,GNIS,False,
Tulare Peak,36.412019,-118.563436,11657,non-SPS,2.14,2,False,False,,,,,King,False,GNIS,False,
Rainbow Mountain,,,12043,non-SPS,2.15,2,False,False,,,,,King,False,,False,
Mineral Peak,,,11615,non-SPS,2.16,2,False,False,,,,,King,False,,False,
Empire Mountain,36.467275,-118.577209,11545,non-SPS,2.17,2,False,False,,,,,King,False,GNIS,False,
Brown Mountain,,,9967,non-SPS,3.12,2,False,False,,,,,Mountain,False,,False,
Templeton Mountain,36.314825,-118.206737,9944,non-SPS,3.13,1,False,False,,,,,Mountain,False,GNIS,False,
Johnson Peak,,,11378,non-SPS,3.14,2,False,False,,,,,Peak,False,,False,
Trail Peak #,36.427588,-118.190588,11617,non-SPS,3.15,1-2,False,False,,,,,Peak,False,GNIS,False,
Mount Anna Mills,36.474497,-118.350077,12054,non-SPS,3.16,2,False,False,,,,,Peak,False,GNIS,False,
The Major General,36.511047,-118.258144,12402,non-SPS,3.17,2,False,False,,,,,Whitney,False,GNIS,False,
The Miter,36.534999,-118.264724,12770,non-SPS,3.18,3-4,False,False,,,,,Whitney,False,GNIS,False,
Mount Marsh,36.554764,-118.278444,13517,non-SPS,4.1,3,False,False,,,,,Whitney,False,GNIS,False,
Discovery Pinnacle #,36.558387,-118.290256,13680,non-SPS,4.11,1sr2,False,False,,,,,Whitney,False,GNIS,False,
Wotans Throne,36.566776,-118.279716,12756,non-SPS,4.12,3,False,False,,,,,Whitney,False,GNIS,False,
Pinnacle Ridge,36.574085,-118.281696,13058,non-SPS,4.13,4,False,False,,,,,Whitney,False,GNIS,False,
Crooks Peak,36.574409,-118.290717,14080,non-SPS,4.14,2,False,False,,,,,Whitney,False,GNIS,False,
Keeler Needle,36.575405,-118.291276,14240,non-SPS,4.15,2-3,False,False,,,,,Whitney,False,GNIS,False,
Mount Carl Heller,,,13225,non-SPS,5.1,3,False,False,,,,,Williamson,False,,False,
Tawny Point,36.628507,-118.376004,12332,non-SPS,5.11,1,False,False,,,,,Williamson,False,GNIS,False,
Mount Versteeg #,36.647715,-118.325618,13470,non-SPS,5.12,2,False,False,,,,,Williamson,False,GNIS,False,
Mount Tyndall - Southwest Peak,,,13540,non-SPS,5.13,2,False,False,,,,,Williamson,False,,False,
Polychrome Peak,,,13018,non-SPS,5.14,2,False,False,,,,,Williamson,False,,False,
Kaweah Queen,36.554655,-118.508554,13366,non-SPS,6.13,2,False,False,,,,,Peak,False,GNIS,False,
Lawson Peak,36.560123,-118.514387,13136,non-SPS,6.14,2,False,False,,,,,Peak,False,GNIS,False,
Panther Peak,36.583341,-118.715748,9054,non-SPS,6.15,2,False,False,,,,,Lodgepole,False,GNIS,False,
Twin Peaks (SEKI),,,10479,non-SPS,6.18,3,False,False,,,,,Silliman,False,,False,
Mount Maddox,36.727937,-118.74718,9656,non-SPS,6.19,2-3,False,False,,,,,Silliman,False,GNIS,False,
Mitchell Peak,,,10378,non-SPS,6.2,1,False,False,,,,,Silliman,False,,False,
Lookout Peak (Kings Canyon),,,8510,non-SPS,6.21,1,False,False,,,,,Grove,False,,False,
Centennial Peak,36.627659,-118.490372,13206,non-SPS,7.11,2,False,False,,,,,Brewer,False,GNIS,False,
Mount Francis Farquhar,,,12893,non-SPS,7.12,3,False,False,,,,,Brewer,False,,False,
Cross Mountain,,,12160,non-SPS,7.13,2,False,False,,,,,Brewer,False,,False,
Palmer Mountain,36.747712,-118.569252,11252,non-SPS,7.14,2,False,False,,,,,Lakes,False,GNIS,False,
Center Basin Crag #5,,,12598,non-SPS,8.13,2,False,False,,,,,Williamson,False,,False,
Center Basin Crag #1,,,12532,non-SPS,8.14,4,False,False,,,,,Williamson,False,,False,
East Spur,36.711883,-118.398506,12735,non-SPS,8.15,3,False,False,,,,,Brewer,False,GNIS,False,
PhD Peak”/Peak 3920m,,,12881,non-SPS,9.13,3,False,False,,,,,Williamson,False,,False,
Kearsarge Pinnacle #11,,,11716,non-SPS,9.15,2,False,False,,,,,King,False,,False,
Kearsarge Pinnacle #12,,,11703,non-SPS,9.16,2,False,False,,,,,King,False,,False,
Falcor Peak”/Peak 3912m,,,12800,non-SPS,9.17,3,False,False,,,,,King,False,,False,
Glacier Spike,,,12400,non-SPS,9.18,2,False,False,,,,,King,False,,False,
Charlotte Dome,36.782423,-118.48033,10672,non-SPS,9.19,3,False,False,,,,,King,False,GNIS,False,
Painted Lady,36.792823,-118.399464,12100,non-SPS,9.2,2,False,False,,,,,King,False,GNIS,False,
Fin Dome,36.813556,-118.412302,11693,non-SPS,9.21,3-4,False,False,,,,,King,False,GNIS,False,
Mary Austin,,,13021,non-SPS,9.22,2,False,False,,,,,Peak,False,,False,
Acrodectes Peak,36.860686,-118.375161,13143,non-SPS,10.11,2,False,False,,,,,King,False,GNIS,False,
Mount Cedric Wright,36.90405,-118.387661,12372,non-SPS,10.12,2,False,False,,,,,Pinchot,False,GNIS,False,
Crater Mountain,,,12874,non-SPS,10.13,2,False,False,,,,,Pinchot,False,,False,
Mount Ickes,36.932974,-118.439168,12950,non-SPS,10.14,2,False,False,,,,,Pinchot,False,GNIS,False,
Mount Hutchings,36.833244,-118.600738,10785,non-SPS,11.1,2,False,False,,,,,Sphinx,False,GNIS,False,
Munger Peak,36.874257,-118.579892,12040,non-SPS,11.11,2,False,False,,,,,Sphinx,False,GNIS,False,
Hogback Peak,36.876568,-118.711582,11086,non-SPS,11.12,2,False,False,,,,,Bluffs,False,GNIS,False,
Castle Peak (W Mid-Sierra)),,,10657,non-SPS,11.13,1,False,False,,,,,Dome,False,,False,
Patterson Mountain,36.974763,-119.056381,8170,non-SPS,11.14,1,False,False,,,,,Mountain,False,GNIS,False,
Eagle Peak,,,10318,non-SPS,11.15,2,False,False,,,,,Mountain,False,,False,
Nelson Mountain,37.089461,-119.049076,10220,non-SPS,11.16,2,False,False,,,,,Mountain,False,GNIS,False,
Brown Peak,,,10322,non-SPS,11.17,2,False,False,,,,,Dogtooth,False,,False,
Dogtooth Peak,37.154076,-119.03959,10302,non-SPS,11.18,2-3,False,False,,,,,Dogtooth,False,GNIS,False,
Maxon Dome,,,9505,non-SPS,11.19,2,False,False,,,,,Dogtooth,False,,False,
Vennacher Needle,36.998769,-118.473842,12980,non-SPS,11.2,2,False,False,,,,,Pinchot,False,GNIS,False,
Twin Peaks” (Palisades),,,13061,non-SPS,12.11,2,False,False,,,,,Mountain,False,,False,
Ed Lane Peak” / Peak 4138m,,,13576,non-SPS,12.12,3,False,False,,,,,Mountain,False,,False,
Kid Mountain,37.101839,-118.428327,11817,non-SPS,12.14,2,False,False,,,,,Mountain,False,GNIS,False,
Woodworth,,,12228,non-SPS,13.13,2,False,False,,,,,Palisade,False,,False,
Mount Shakspere,37.036667,-118.532572,12182,non-SPS,13.14,2,False,False,,,,,Palisade,False,GNIS,False,
Rambaud Peak,37.038726,-118.595757,11053,non-SPS,13.15,2,False,False,,,,,Palisade,False,GNIS,False,
The Citadel,37.065227,-118.611145,11729,non-SPS,13.16,2,False,False,,,,,Palisade,False,GNIS,False,
Langille,,,12011,non-SPS,13.17,2,False,False,,,,,Palisade,False,,False,
Mount Solomons,37.106457,-118.67422,13034,non-SPS,13.18,2,False,False,,,,,Goddard,False,GNIS,False,
Blackcap Mountain,,,11562,non-SPS,13.19,2,False,False,,,,,Mountain,False,,False,
Mount Jepson,37.08885,-118.495269,13390,non-SPS,14.12,2,False,False,,,,,Mountain,False,GNIS,False,
Polemonium Peak,37.093351,-118.511771,14095,non-SPS,14.13,4,False,False,,,,,Palisade,False,GNIS,False,
Columbine Peak,37.089164,-118.541803,12662,non-SPS,14.14,2,False,False,,,,,Palisade,False,GNIS,False,
Isosceles Peak,37.093809,-118.538633,12339,non-SPS,14.15,3-4,False,False,,,,,Palisade,False,GNIS,False,
West Isosceles Peak” [1],,,12240,non-SPS,14.16,3-4,False,False,,,,,Palisade,False,,False,
Buck Mountain,,,12814,non-SPS,14.17,2,False,False,,,,,Palisade,False,,False,
Trapezoid Peak”/Peak,,,12920,non-SPS,14.18,3,False,False,,,,,Palisade,True,,False,
Hurd Peak,37.140898,-118.566073,12237,non-SPS,14.2,2-3,False,False,,,,,Thompson,False,GNIS,False,
Sky Haven,37.144295,-118.505009,12840,non-SPS,14.21,3,False,False,,,,,Thompson,False,GNIS,False,
Chocolate Peak,,,11682,non-SPS,14.22,2,False,False,,,,,Thompson,False,,False,
Vagabond Peak,,,13374,non-SPS,14.23,2,False,False,,,,,Thompson,False,,False,
Quasimodo Peak,,,12362,non-SPS,14.24,2,False,False,,,,,Thompson,False,,False,
Coyote Ridge,,,12297,non-SPS,14.25,1,False,False,,,,,Thompson,False,,False,
Table Mountain (N),,,11711,non-SPS,14.26,1,False,False,,,,,Thompson,False,,False,
Mount Warlow,37.128423,-118.674717,13218,non-SPS,15.14,2,False,False,,,,,Darwin,False,GNIS,False,
Mount Powell #,37.138674,-118.634023,13364,non-SPS,15.15,3,False,False,,,,,Thompson,False,GNIS,False,
Conway Peak”(1),,,13154,non-SPS,15.16,3,False,False,,,,,Thompson,False,,False,
Sunset Peak”/Peak,,,12486,non-SPS,15.17,2,False,False,,,,,Thompson,False,,False,
Picture Peak,,,13120,non-SPS,15.18,3,False,False,,,,,Darwin,False,,False,
Mount Spencer,37.155207,-118.681791,12241,non-SPS,15.19,2,False,False,,,,,Darwin,False,GNIS,False,
Mount Hutton,37.125494,-118.799577,11946,non-SPS,15.2,3,False,False,,,,,Henry,False,GNIS,False,
Peter Peak,37.145548,-118.745824,12506,non-SPS,15.21,2,False,False,,,,,Darwin,False,GNIS,False,
Red Mountain (S),,,11965,non-SPS,15.22,1,False,False,,,,,Henry,False,,False,
Fleming Mountain,37.15867,-118.858054,10794,non-SPS,15.23,2,False,False,,,,,Henry,False,GNIS,False,
Zingheim Heights,37.18379,-118.856864,11135,non-SPS,15.24,3,False,False,,,,,Henry,False,GNIS,False,
Muriel Peak,37.217206,-118.6931,12937,non-SPS,16.12,2,False,False,,,,,Darwin,False,GNIS,False,
Mount Thoreau” / Peak,,,12691,non-SPS,16.13,2,False,False,,,,,Darwin,False,,False,
Mount Locke,,,12634,non-SPS,16.15,2,False,False,,,,,Tom,False,,False,
Turret Peak,37.263596,-118.842562,12014,non-SPS,16.16,2,False,False,,,,,Hilgard,False,GNIS,False,
Mount Ian Campbell,37.261708,-119.020231,10630,non-SPS,16.17,1,False,False,,,,,Givens,False,GNIS,False,
Mount Givens,37.278713,-119.055231,10378,non-SPS,16.18,1,False,False,,,,,Givens,False,GNIS,False,
Kaiser Peak,37.29405,-119.18552,10302,non-SPS,16.19,1,False,False,,,,,Givens,False,GNIS,False,
Feather Peak,37.325679,-118.778441,13212,non-SPS,17.12,2,False,False,,,,,Hilgard,False,GNIS,False,
Bear Claw Spire” / Peak,,,12563,non-SPS,17.13,2,False,False,,,,,Hilgard,False,,False,
Spire Peak”/Peak,,,12470,non-SPS,17.14,4,False,False,,,,,Hilgard,False,,False,
Pip-squeak Spire,,,13268,non-SPS,17.15,3s5,False,False,,,,,Abbot,False,,False,
Pyramid Peak” (Little Lk Valley),,,12866,non-SPS,17.16,3,False,False,,,,,Hilgard,False,,False,
Rosy Finch Peak,,,12744,non-SPS,17.17,3,False,False,,,,,Morgan,False,,False,
Little Lakes Peak,,,12782,non-SPS,17.18,2,False,False,,,,,Morgan,False,,False,
Twelve Flags Peak,,,13470,non-SPS,17.19,2,False,False,,,,,Morgan,False,,False,
Lookout”/“Tempest Peak,,,11902,non-SPS,17.21,2,False,False,,,,,Abbot,False,,False,
Ruby Peak,,,13188,non-SPS,17.22,3s4,False,False,,,,,Abbot,False,,False,
Mount Starr #,37.429027,-118.765196,12835,non-SPS,17.23,2,False,False,,,,,Abbot,False,GNIS,False,
Graveyard Peak,37.45131,-118.989879,11443,non-SPS,18.1,3,False,False,,,,,Peak,False,GNIS,False,
Mount Hopkins,37.463768,-118.813383,12208,non-SPS,18.11,2,False,False,,,,,Abbot,False,GNIS,False,
Mount Huntington #,37.469634,-118.777226,12355,non-SPS,18.12,3,False,False,,,,,Abbot,False,GNIS,False,
Pointless Peak,,,12256,non-SPS,18.13,2,False,False,,,,,Abbot,False,,False,
Patricia Peak,,,11962,non-SPS,18.14,2,False,False,,,,,Abbot,False,,False,
Mount Crocker #,37.482929,-118.825392,12461,non-SPS,18.15,3,False,False,,,,,Abbot,False,GNIS,False,
Silver Divide Peak” / Peak,,,12238,non-SPS,18.16,2,False,False,,,,,Abbot,False,,False,
Red Mountain (N),,,11467,non-SPS,18.17,1,False,False,,,,,Place,False,,False,
The White Fang,,,12240,non-SPS,18.18,3,False,False,,,,,Lake,False,,False,
Mount Aggie,37.54578,-118.842679,11561,non-SPS,18.19,2,False,False,,,,,Lake,False,GNIS,False,
McGee Mountain,37.566595,-118.811226,10871,non-SPS,18.2,1,False,False,,,,,Lake,False,GNIS,False,
Mono Jim Peak,37.572186,-118.852163,10893,non-SPS,18.21,2,False,False,,,,,Lake,False,GNIS,False,
Laurel Mountain,,,11824,non-SPS,18.22,2,False,False,,,,,Mountain,False,,False,
Creag an Turic II.  (1),,,10699,non-SPS,19.1,3,False,False,,,,,Mountain,False,,False,
Herlihy Peak,,,11728,non-SPS,19.11,3,False,False,,,,,Mountain,False,,False,
Pumice Butte,37.55198,-119.060284,9544,non-SPS,19.12,2,False,False,,,,,Crag,False,GNIS,False,
Mammoth Crest / “Blue Crag,,,11489,non-SPS,19.13,2s3,False,False,,,,,Crag,False,,False,
Madesno Peak” / Peak,,,9718,non-SPS,19.15,1,False,False,,,,,Crag,False,,False,
Mammoth Mountain #,37.630628,-119.032622,11023,non-SPS,19.16,1,False,False,,,,,Mountain,False,GNIS,False,
Deadman Dome” / Peak 2580m,,,8465,non-SPS,19.17,2,False,False,,,,,Mountain,False,,False,
"White Wing Mountain 10,007SW Slope via Traverse of Peak",,,9727,non-SPS,19.18,2,False,False,,,,,Mountain,False,,False,
Volcanic Ridge,37.671208,-119.160181,11480,non-SPS,19.19,2,False,False,,,,,Ritter,False,GNIS,False,
Earthquake Dome,37.665877,-118.999718,9371,non-SPS,19.2,1,False,False,,,,,Mountain,False,GNIS,False,
Two Teats #,37.71202,-119.100023,11387,non-SPS,19.22,3,False,False,,,,,Mountain,False,GNIS,False,
Carson Peak #,37.747542,-119.124126,10909,non-SPS,19.23,1,False,False,,,,,Mountain,False,GNIS,False,
Mount Ansel Adams,37.697968,-119.281596,11792,non-SPS,19.24,3,False,False,,,,,Lyell,False,GNIS,False,
Long Mountain,,,11489,non-SPS,19.25,2,False,False,,,,,Lyell,False,,False,
Fresno Dome,37.454405,-119.536006,7517,non-SPS,20.8,1,False,False,,,,,Mtn,False,GNIS,False,
Quartz Mountain,,,9046,non-SPS,20.9,2,False,False,,,,,Peak,False,,False,
Madera Peak,37.537604,-119.37463,10509,non-SPS,20.1,2,False,False,,,,,Knob,False,GNIS,False,
Red Top,,,9973,non-SPS,20.11,2,False,False,,,,,Peak,False,,False,
Sing Peak,37.553912,-119.387499,10520,non-SPS,20.12,2,False,False,,,,,Peak,False,GNIS,False,
Gale Peak,37.567987,-119.387078,10693,non-SPS,20.13,2,False,False,,,,,Peak,False,GNIS,False,
Post Peak,37.62813,-119.327971,11009,non-SPS,20.14,2s4,False,False,,,,,Lyell,False,GNIS,False,
Isberg Peak,37.651172,-119.323796,10996,non-SPS,20.15,2,False,False,,,,,Knob,False,GNIS,False,
Buena Vista Peak,,,9709,non-SPS,20.16,2,False,False,,,,,Grove,False,,False,
Triple Divide Peak (Yosemite),,,11611,non-SPS,20.17,2,False,False,,,,,Peak,False,,False,
Ottoway Peak,37.642133,-119.39335,11840,non-SPS,20.18,3,False,False,,,,,Peak,False,GNIS,False,
El Capitan,37.742131,-119.635895,7773,non-SPS,20.19,1,False,False,,,,,Capitan,False,GNIS,False,
Indian Rock (Yosemite),,,8531,non-SPS,20.21,1s2,False,False,,,,,Lake,False,,False,
Mount Watkins,37.782833,-119.517649,8501,non-SPS,20.22,2,False,False,,,,,Falls,False,GNIS,False,
Simmons Peak,37.7607,-119.294368,12493,non-SPS,21.9,2,False,False,,,,,Peak,False,GNIS,False,
Parsons Peak,37.776902,-119.307799,12132,non-SPS,21.1,2,False,False,,,,,Peak,False,GNIS,False,
Amelia Earhart Peak,37.786393,-119.288225,11978,non-SPS,21.11,2,False,False,,,,,Peak,False,GNIS,False,
Fletcher Peak,37.791782,-119.33575,11410,non-SPS,21.12,2,False,False,,,,,Peak,False,GNIS,False,
Reversed Peak,37.804471,-119.099406,9485,non-SPS,21.13,1s2,False,False,,,,,Lake,False,GNIS,False,
Donohue Peak #,37.774755,-119.233052,12023,non-SPS,21.14,2,False,False,,,,,Lyell,False,GNIS,False,
Blacktop Peak #,37.793729,-119.19614,12724,non-SPS,21.15,3,False,False,,,,,Peak,False,GNIS,False,
Mount Wood,37.809244,-119.165947,12652,non-SPS,21.16,2,False,False,,,,,Peak,False,GNIS,False,
Parker Peak,,,12857,non-SPS,21.17,1,False,False,,,,,Peak,False,,False,
Mount Lewis #,,,12350,non-SPS,21.18,1,False,False,,,,,Peak,False,,False,
Kuna Peak #,37.812939,-119.208322,13002,non-SPS,21.19,2,False,False,,,,,Peak,False,GNIS,False,
Kuna Crest  - South,,,12202,non-SPS,21.2,2,False,False,,,,,Peak,False,,False,
Kuna Crest North,,,12170,non-SPS,21.21,2,False,False,,,,,Peak,False,,False,
Mammoth Peak,37.855497,-119.263504,12117,non-SPS,21.22,2,False,False,,,,,Dana,False,GNIS,False,
Rafferty Peak,37.815155,-119.355483,11106,non-SPS,21.23,1,False,False,,,,,Peak,False,GNIS,False,
